record_id,pmid,title,year,journal,doi,url,human_title_abstract_decision,narrowed_screening_decision,narrowed_screening_reason,narrowed_notes,evidence_role,evidence_role_suggested,evidence_role_suggestion_confidence,timeline_scope_tier,relevance_score
REC00003,41758525,Medicaid Continuous Coverage Requirement and Postpartum Hospitalization.,2026,JAMA health forum,10.1001/jamahealthforum.2025.6872,https://pubmed.ncbi.nlm.nih.gov/41758525/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2018–2021 HCUP State Inpatient Databases from 20 states; evaluates FFCRA Medicaid continuous coverage requirement beginning in 2020,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_2_possible_match,9
REC00014,38437599,COVID-19 Medicaid Continuous Enrollment Provision Yielded Gains In Postpartum Continuity Of Coverage.,2024,Health affairs (Project Hope),10.1377/hlthaff.2023.00580,https://pubmed.ncbi.nlm.nih.gov/38437599/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,"2018 and 2020 T-MSIS Medicaid enrollment data; evaluates FFCRA continuous enrollment during 2020, but does not include post-2021 data",pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,7
REC00018,35508289,Postpartum Medicaid enrollment and churn in North Carolina.,2022,American journal of obstetrics & gynecology MFM,10.1016/j.ajogmf.2022.100656,https://pubmed.ncbi.nlm.nih.gov/35508289/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2019 North Carolina Medicaid enrollment data,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,medium,tier_2_possible_match,3
REC00020,38457131,"Continuous Medicaid Eligibility During the COVID-19 Pandemic and Postpartum Coverage, Health Care, and Outcomes.",2024,JAMA health forum,10.1001/jamahealthforum.2024.0004,https://pubmed.ncbi.nlm.nih.gov/38457131/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2017–2021 PRAMS data from 21 states; compares prepolicy 2017–2019 with FFCRA/PHE postpolicy 2020–2021,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,10
REC00030,42259716,Rural-Urban Differences in Coverage Gains Under Continuous Postpartum Medicaid Eligibility.,2026,Women's health issues : official publication of the Jacobs Institute of Women's Health,10.1016/j.whi.2026.04.004,https://pubmed.ncbi.nlm.nih.gov/42259716/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2017–2022 ACS data; evaluates COVID-19 PHE continuous postpartum Medicaid eligibility with post-2021 data,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,9
REC00032,41833544,Extended Pregnancy Medicaid During COVID-19 and Enrollment and Health Care Use in the Postpartum Year.,2026,The Milbank quarterly,10.1111/1468-0009.70079,https://pubmed.ncbi.nlm.nih.gov/41833544/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2019–2022 Medicaid claims data from 15 states; includes FFCRA COVID-era continuous coverage period,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,12
REC00033,34982627,Extended Postpartum Medicaid Eligibility Is Associated With Improved Continuity Of Coverage In The Postpartum Year.,2022,Health affairs (Project Hope),10.1377/hlthaff.2021.00730,https://pubmed.ncbi.nlm.nih.gov/34982627/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,"2014–2019 Colorado linked birth records, income, and all-payer claims data; includes 2015+ data but no post-2021 implementation data ",pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,8
REC00035,37406233,Late Postpartum Coverage Loss Before COVID-19: Implications For Medicaid Unwinding.,2023,Health affairs (Project Hope),10.1377/hlthaff.2022.01659,https://pubmed.ncbi.nlm.nih.gov/37406233/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2019 PRAMS follow-up data; pre-COVID/pre-FFCRA baseline evidence,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,6
REC00040,38568923,Not all Medicaid for pregnancy care is delivered equally.,2024,PloS one,10.1371/journal.pone.0299818,https://pubmed.ncbi.nlm.nih.gov/38568923/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome, 2014–2019 Oregon and South Carolina Medicaid claims linked with birth certificate data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,9
REC00041,35977176,Factors Associated With Postpartum Uninsurance Among Medicaid-Paid Births.,2021,JAMA health forum,10.1001/jamahealthforum.2021.1054,https://pubmed.ncbi.nlm.nih.gov/35977176/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2015–2018 PRAMS data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,8
