source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,cited_by_count,dedupe_key,duplicate_group
PubMed,32111417,Adoption of Medicaid Expansion Is Associated with Lower Maternal Mortality.,"This study explores the effect of Medicaid expansion under the Affordable Care Act on the maternal mortality ratio in the United States.; A difference-in-differences research design was used to analyze the effect of Medicaid expansion on maternal mortality. Maternal mortality was defined with and without late maternal deaths, to substantiate the contribution of increased preconception and postpartum insurance coverage. To examine whether there was a racial difference in the effects of Medicaid expansion, models were stratified by the woman's race/ethnicity for non-Hispanic Black women, non-Hispanic White women, and Hispanic women.; Medicaid expansion was significantly associated with lower maternal mortality by 7.01 maternal deaths per 100,000 live births (p = .002) relative to nonexpansion states. When maternal mortality definitions excluded late maternal deaths, Medicaid expansion was significantly associated with a decrease in maternal mortality per 100,000 live births by 6.65 (p = .004) relative to nonexpansion states. Medicaid expansion effects were concentrated among non-Hispanic Black mothers, suggesting that expansion could be contributing to decreasing racial disparities in maternal mortality.; Although maternal mortality overall continues to increase in the United States, the maternal mortality ratio among Medicaid expansion states has increased much less compared with nonexpansion states. These results suggest that Medicaid expansion could be contributing to a relative decrease in the maternal mortality ratio in the United States. The decrease in the maternal mortality ratio is greater when maternal mortality estimates include late maternal deaths, suggesting that sustained insurance coverage after childbirth as well as improved preconception coverage could be contributing to decreasing maternal mortality.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2020,Journal Article,Erica L Eliason,10.1016/j.whi.2020.01.005,Black or African American; Female; Hispanic or Latino; Humans; Insurance Coverage; Maternal Mortality; Medicaid; Patient Protection and Affordable Care Act; United States; White People,https://pubmed.ncbi.nlm.nih.gov/32111417/,,,,,,doi:10 1016 j whi 2020 01 005,2
OpenAlex,,Adoption of Medicaid Expansion Is Associated with Lower Maternal Mortality,,Women s Health Issues,2020,,Erica L. Eliason,https://doi.org/10.1016/j.whi.2020.01.005,,https://openalex.org/W3007170247,,https://openalex.org/W3007170247,Medicaid; Medicine; Demography; Childbirth; Maternal death; Mortality rate; Obstetrics; Pregnancy; Population; Health care; Environmental health; Internal medicine; Sociology; Economic growth; Economics; Biology; Genetics,article,130,doi:10 1016 j whi 2020 01 005,2
PubMed,37438483,Medicaid and newborn care: challenges and opportunities.,"Since its creation in 1965, Medicaid has operated as a federal-state partnership that provides a robust set of medical benefits to low-income families, including pregnant people and infants. In many ways, Medicaid has met its initial promise. However, medical benefits, provider payments, and key administrative procedures regarding eligibility, enrollment, and access to care vary substantially among state Medicaid programs. These variations have created profound inequities across states in the care of parents and children, particularly during pregnancy and in the postpartum and neonatal periods. Here we review select aspects of the Medicaid program pertinent to newborns and infants that contribute to eligibility and enrollment gaps, variations in benefits coverage and payment rates, and racial disparities in both access to healthcare and infant health outcomes. We outline a number of structural reforms of the Medicaid program that can improve newborn and infant access to care and outcomes and redress existing inequities.",Journal of perinatology : official journal of the California Perinatal Association,2023,Journal Article; Review,Emily R Miller; Mark L Hudak,10.1038/s41372-023-01714-4,"Child; Infant; Female; Pregnancy; United States; Infant, Newborn; Humans; Medicaid; Poverty; Health Services Accessibility; Eligibility Determination; Postpartum Period",https://pubmed.ncbi.nlm.nih.gov/37438483/,,,,,,doi:10 1038 s41372 023 01714 4,6
OpenAlex,,Medicaid and newborn care: challenges and opportunities,,Journal of Perinatology,2023,,Emily R. Miller; Mark L. Hudak,https://doi.org/10.1038/s41372-023-01714-4,,https://openalex.org/W4384037098,,https://openalex.org/W4384037098,Medicaid; Medicine; Payment; General partnership; Health care; Family medicine; Redress; Health equity; Nursing; Public health; Economic growth; Business; Political science; Law; Finance; Economics,review,8,doi:10 1038 s41372 023 01714 4,6
PubMed,33439701,Postpartum Medicaid Extension to Address Racial Inequity in Maternal Mortality.,,American journal of public health,2021,"Editorial; Research Support, N.I.H., Extramural",Natasha R Kumar; Ann Borders; Melissa A Simon,10.2105/AJPH.2020.306060,Female; Healthcare Disparities; Humans; Maternal Mortality; Medicaid; Postnatal Care; Pregnancy; Racism; United States,https://pubmed.ncbi.nlm.nih.gov/33439701/,,,,,,doi:10 2105 ajph 2020 306060,8
OpenAlex,,Postpartum Medicaid Extension to Address Racial Inequity in Maternal Mortality,"Postpartum Medicaid Extension to Address Racial Inequity in Maternal Mortality Natasha R. Kumar MD, Ann Borders MD, MPH, MSc, and Melissa A. Simon MD, MPH Affiliation Natasha R. Kumar and Melissa A. Simon are with the Department of Obstetrics and Gynecology, Northwestern University Feinberg School of Medicine, Chicago, IL. Ann Borders is with the Department of Obstetrics and Gynecology, NorthShore University, HealthSystem, Evanston, IL, and the Illinois Perinatal Quality Collaborative. Melissa A. Simon is also with the Center for Health Equity Transformation at Northwestern University Feinberg School of Medicine.CopyRightCorrespondence should be sent to Natasha Kumar, OBGYN Resident, Prentice Women's Hospital, 250 E Superior St., 5th floor, Chicago, IL 60611 (e-mail: natasha.kumar@northwestern.edu). Reprints can be ordered at http://www.ajph.org by clicking the ""Reprints"" link.CONTRIBUTORSThe authors contributed equally to this editorial. https://doi.org/10.2105/AJPH.2020.306060 Accepted: November 13, 2020 Published Online: January 13, 2021",American Journal of Public Health,2021,,Natasha R. Kumar; Ann Borders; Melissa A. Simon,https://doi.org/10.2105/ajph.2020.306060,,https://openalex.org/W3120442499,,https://openalex.org/W3120442499,Medicaid; Obstetrics and gynaecology; Family medicine; Equity (law); Medicine; Gerontology; Health care; Political science; Pregnancy; Law; Genetics; Biology,editorial,21,doi:10 2105 ajph 2020 306060,8
PubMed,37266938,Health Insurance Coverage and Postpartum Outcomes in the US: A Systematic Review.,"Approximately half of postpartum individuals in the US do not receive any routine postpartum health care. Currently, federal Medicaid coverage for pregnant individuals lapses after the last day of the month in which the 60th postpartum day occurs, which limits longer-term postpartum care.; To assess whether health insurance coverage extension or improvements in access to health care are associated with postpartum health care utilization and maternal outcomes within 1 year post partum.; Medline, Embase, CENTRAL, CINAHL, and ClinicalTrials.gov were searched for US-based studies from inception to November 16, 2022. The reference lists of relevant systematic reviews were scanned for potentially eligible studies. Risk of bias was assessed using questions from the Cochrane Risk of Bias tool and the Risk of Bias in Nonrandomized Studies of Interventions tool. Strength of evidence (SoE) was assessed using the Agency for Healthcare Research and Quality Methods Guide.; A total of 25 973 citations were screened and 28 mostly moderate-risk-of-bias nonrandomized studies were included (3 423 781 participants) that addressed insurance type (4 studies), policy changes that made insurance more comprehensive (13 studies), policy changes that made insurance less comprehensive (2 studies), and Medicaid expansion (9 studies). Findings with moderate SoE suggested that more comprehensive association was likely associated with greater attendance at postpartum visits. Findings with low SoE indicated a possible association between more comprehensive insurance and fewer preventable readmissions and emergency department visits.; The findings of this systematic review suggest that evidence evaluating insurance coverage and postpartum visit attendance and unplanned care utilization is, at best, of moderate SoE. Future research should evaluate clinical outcomes associated with more comprehensive insurance coverage.",JAMA network open,2023,"Systematic Review; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Ian J Saldanha; Gaelen P Adam; Ghid Kanaan; Michael L Zahradnik; Dale W Steele; Kenneth K Chen; Alex F Peahl; Valery A Danilack-Fekete; Alison M Stuebe; Ethan M Balk,10.1001/jamanetworkopen.2023.16536,Pregnancy; Female; United States; Humans; Postpartum Period; Medicaid; Patient Acceptance of Health Care; Insurance Coverage,https://pubmed.ncbi.nlm.nih.gov/37266938/,,,,,,doi:10 1001 jamanetworkopen 2023 16536,9
OpenAlex,,Health Insurance Coverage and Postpartum Outcomes in the US,"Importance: Approximately half of postpartum individuals in the US do not receive any routine postpartum health care. Currently, federal Medicaid coverage for pregnant individuals lapses after the last day of the month in which the 60th postpartum day occurs, which limits longer-term postpartum care. Objective: To assess whether health insurance coverage extension or improvements in access to health care are associated with postpartum health care utilization and maternal outcomes within 1 year post partum. Evidence Review: Medline, Embase, CENTRAL, CINAHL, and ClinicalTrials.gov were searched for US-based studies from inception to November 16, 2022. The reference lists of relevant systematic reviews were scanned for potentially eligible studies. Risk of bias was assessed using questions from the Cochrane Risk of Bias tool and the Risk of Bias in Nonrandomized Studies of Interventions tool. Strength of evidence (SoE) was assessed using the Agency for Healthcare Research and Quality Methods Guide. Findings: A total of 25 973 citations were screened and 28 mostly moderate-risk-of-bias nonrandomized studies were included (3 423 781 participants) that addressed insurance type (4 studies), policy changes that made insurance more comprehensive (13 studies), policy changes that made insurance less comprehensive (2 studies), and Medicaid expansion (9 studies). Findings with moderate SoE suggested that more comprehensive association was likely associated with greater attendance at postpartum visits. Findings with low SoE indicated a possible association between more comprehensive insurance and fewer preventable readmissions and emergency department visits. Conclusions and Relevance: The findings of this systematic review suggest that evidence evaluating insurance coverage and postpartum visit attendance and unplanned care utilization is, at best, of moderate SoE. Future research should evaluate clinical outcomes associated with more comprehensive insurance coverage.",JAMA Network Open,2023,,Ian J. Saldanha; Gaelen P. Adam; Ghid Kanaan; Michael L. Zahradnik; Dale W. Steele; Kenneth K. Chen; Alex Peahl; Valery A. Danilack-Fekete; Alison M. Stuebe; Ethan M. Balk,https://doi.org/10.1001/jamanetworkopen.2023.16536,,https://openalex.org/W4379095003,,https://openalex.org/W4379095003,Medicine; CINAHL; Medicaid; Attendance; Psychological intervention; Postpartum period; Health care; MEDLINE; Family medicine; Environmental health; Pregnancy; Nursing; Law; Biology; Genetics; Economics; Economic growth; Political science,review,30,doi:10 1001 jamanetworkopen 2023 16536,9
PubMed,35757523,Best Practices for Managing Postpartum Hypertension.,"Patients remain at risk for persistent and de novo postpartum hypertension related to pregnancy. This review aims to summarize the current definitions, clinical practices, and novel systems innovations and therapies for postpartum hypertension.; Recent changes to the definitions of hypertension outside of pregnancy have not yet impacted definitions or management of hypertensive disorders of pregnancy (HDP), though research examining the implications of these new definitions on risks of developing HDP and the resultant sequelae is ongoing. The administration of diuretics has been shown to reduce postpartum hypertension among women with HDP. Widespread implementation of telemedicine models and remote assessment of ambulatory blood pressures has increased data available on postpartum blood pressure trajectories, which may impact clinical management. Additionally, policy changes such as postpartum Medicaid extension and an increasing emphasis on building bridges to primary care in the postpartum period may improve long-term outcomes for women with postpartum hypertension. Prediction models utilizing machine learning are an area of ongoing research to assist with risk assessment in the postpartum period.; The clinical management of postpartum hypertension remains focused on blood pressure control and primary care transition for cardiovascular disease risk reduction. In recent years, systemic innovations have improved access through implementation of new care delivery models. However, the implications of changing definitions of hypertension outside of pregnancy, increased data assessing blood pressure trajectories in the postpartum period, and the creation of new risk prediction models utilizing machine learning remain areas of ongoing research.",Current obstetrics and gynecology reports,2022,Journal Article; Review,Natasha Raj Kumar; Adi Hirshberg; Sindhu K Srinivas,10.1007/s13669-022-00343-6,,https://pubmed.ncbi.nlm.nih.gov/35757523/,,,,,,doi:10 1007 s13669 022 00343 6,13
OpenAlex,,Best Practices for Managing Postpartum Hypertension,,Current Obstetrics and Gynecology Reports,2022,,Natasha R. Kumar; Adi Hirshberg; Sindhu K. Srinivas,https://doi.org/10.1007/s13669-022-00343-6,,https://openalex.org/W4283167681,,https://openalex.org/W4283167681,Medicine; Postpartum period; Blood pressure; Pregnancy; Intensive care medicine; Ambulatory blood pressure; Disease; Telemedicine; Medicaid; Obstetrics; Health care; Internal medicine; Economic growth; Genetics; Biology; Economics,review,35,doi:10 1007 s13669 022 00343 6,13
